idx,hashtag,emoji_s,count
72,18年夏天最怀念的事情,"(16, 5, 11, 23, 6, 8, 17, 14, 7, 3, 10, 24, 18, 1, 12, 22, 2, 9, 15)","(4063, 618, 121, 55, 44, 43, 40, 22, 15, 14, 14, 13, 10, 8, 7, 5, 2, 1, 1)"
73,18省份最新开学时间,"(17, 5, 15, 8, 6, 21, 4, 19, 7, 9, 24, 16, 1, 11, 2, 12, 3, 14, 10, 13, 18, 23, 22, 20)","(4314, 647, 430, 204, 127, 117, 114, 64, 43, 35, 35, 30, 25, 20, 18, 17, 16, 15, 14, 14, 13, 6, 5, 4)"
74,18米长绳吊保温桶为民警送饭,"(16, 15, 23, 10, 5, 13, 19, 3, 4)","(230, 29, 15, 9, 7, 3, 2, 1, 1)"
75,1917确认引进中国内地,"(7, 11, 2, 9, 10, 13, 5, 8, 4, 17, 6, 16, 20, 15, 14, 19, 3, 18, 21)","(238, 60, 18, 17, 8, 8, 6, 6, 6, 6, 5, 5, 5, 4, 3, 2, 1, 1, 1)"
76,1919年的那个少年,"(16, 5, 15, 4, 22, 9, 11, 20, 1, 8, 23, 6, 18, 10, 13, 24, 2, 3, 17, 19, 21)","(5351, 235, 115, 42, 19, 14, 14, 9, 8, 8, 8, 6, 6, 4, 2, 2, 1, 1, 1, 1, 1)"
77,1988花絮有多好笑,"(3, 11, 16, 15, 14, 23, 8, 20, 17, 13, 18, 19, 22, 2, 1, 5, 6, 9, 24, 7)","(50, 13, 13, 11, 9, 9, 8, 8, 7, 5, 5, 5, 5, 3, 2, 2, 2, 2, 2, 1)"
78,19个月大宝宝替殉职爸爸领奖,"(5, 18, 16, 7, 17, 14, 20, 9, 15, 19, 11, 10, 21, 24)","(743, 179, 46, 14, 14, 8, 8, 7, 5, 5, 4, 3, 2, 2)"
79,19岁女孩烧烤店殴打15岁女孩,"(4, 18, 1, 11, 17, 14, 3, 15, 13, 9, 5, 22, 2, 7, 12, 8, 20, 24, 16, 23)","(6739, 141, 133, 82, 43, 26, 20, 20, 19, 8, 7, 5, 3, 3, 3, 2, 2, 2, 1, 1)"
80,19年度明星沙雕翻唱大赏,"(6, 8, 3, 2, 18, 20, 21, 7, 10, 15, 16, 1, 5, 17, 23)","(573, 284, 209, 16, 9, 8, 6, 5, 5, 4, 2, 1, 1, 1, 1)"
81,19年度沙雕明星大赏,"(8, 6, 3, 2, 16, 19, 24, 1, 7, 21, 22)","(184, 171, 147, 26, 9, 9, 9, 7, 1, 1, 1)"
82,1亿人在假装健身,"(6, 8, 3, 16, 11, 22, 12, 10, 20, 9, 13, 17, 7, 18, 21, 2, 4, 19, 14, 24, 1, 23, 15, 5)","(994, 532, 105, 25, 24, 24, 21, 15, 13, 11, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 5, 4, 3, 2)"
83,1元纸币上的女拖拉机手梁军去世,"(18, 5, 16, 17, 4, 20, 24, 21, 22, 9, 11, 23, 14, 15, 3, 10, 13, 19, 1, 2, 6, 7, 8, 12)","(5898, 203, 78, 20, 19, 8, 8, 7, 6, 5, 5, 5, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)"
84,1分钟了解美伊冲突最新进展,"(14, 5, 4, 6, 16, 24, 10, 8, 15, 18, 9, 19, 11, 12, 21, 1, 2, 13, 17)","(78, 33, 19, 18, 17, 9, 8, 7, 7, 7, 6, 5, 3, 3, 3, 1, 1, 1, 1)"
85,1分钟改造呼吸阀口罩,"(9, 6, 19, 16, 10, 20, 14, 13, 21, 23, 17, 22, 11, 15, 18, 24, 8, 3, 2, 12, 4)","(49, 24, 24, 16, 10, 8, 6, 6, 6, 6, 5, 5, 4, 4, 4, 4, 3, 2, 1, 1, 1)"
86,1分钟踢腿挑战,"(11, 3, 21, 10, 14, 1, 19, 9, 4)","(89, 15, 12, 11, 9, 7, 6, 3, 2)"
87,1天出现5种气象景观,"(16, 6, 7, 3, 14, 2, 8, 10, 12, 1, 19, 15, 20, 21, 22, 23, 5, 13)","(324, 65, 42, 23, 23, 17, 15, 13, 9, 8, 8, 7, 6, 4, 3, 2, 1, 1)"
88,1岁重型新冠肺炎宝宝康复出院,"(16, 15, 19, 5, 7, 13, 24, 10, 20, 17, 14, 11, 18, 23, 12, 21, 1, 6, 3, 22, 2, 8)","(2969, 224, 57, 24, 20, 15, 13, 12, 11, 10, 9, 9, 9, 8, 6, 6, 5, 5, 4, 4, 1, 1)"
89,1月份全国生猪生产稳步恢复,"(1, 6, 22, 5, 17, 14, 21, 8, 11, 4, 13, 3, 24, 2, 23, 19, 15, 10, 16, 20)","(120, 63, 36, 33, 20, 18, 18, 17, 17, 16, 15, 10, 8, 7, 6, 3, 2, 1, 1, 1)"
90,1毛钱的快乐,"(11, 8, 3, 4, 15, 23, 24, 10, 9, 14, 16)","(317, 55, 31, 15, 15, 9, 8, 7, 6, 5, 3)"
91,2.4万余门在线课程免费开放,"(15, 6, 8, 4, 16, 13, 17, 5, 11, 3, 24, 14, 2, 18, 19, 10, 1, 21, 7, 20, 12, 23, 22, 9)","(1347, 538, 181, 144, 109, 98, 60, 41, 40, 25, 22, 20, 19, 19, 19, 17, 16, 16, 9, 6, 5, 5, 3, 1)"
92,2.67亿Facebook用户信息被公开,"(6, 8, 11, 16, 24, 4, 9, 3, 14, 1, 5, 20, 23, 13, 21, 2)","(37, 19, 19, 15, 15, 9, 6, 5, 5, 3, 3, 3, 3, 2, 2, 1)"
93,2000年你在做什么,"(6, 8, 3, 16, 2, 4, 7, 21, 5, 13, 23, 14, 17, 11, 9, 10, 22)","(419, 305, 103, 48, 25, 12, 10, 10, 9, 9, 6, 5, 5, 4, 3, 3, 1)"
94,200多名汉服爱好者现身大唐不夜城,"(16, 7, 11, 15, 18, 4, 5, 8, 6, 21, 14)","(658, 114, 31, 27, 12, 11, 8, 5, 4, 2, 1)"
95,200斤鸵鸟昆明市区狂奔,"(8, 6, 3, 7, 12, 2, 19, 16, 23, 11, 14, 10, 5, 13, 15, 9, 4, 24, 22, 21)","(2920, 1035, 600, 67, 36, 24, 20, 12, 12, 11, 9, 9, 8, 7, 7, 6, 5, 5, 3, 2)"
96,2015至2019年是有记录以来最热5年,"(16, 5, 17, 6, 8, 12, 10, 13, 4, 18, 23, 19, 2, 11, 20, 21, 3, 1, 22)","(1291, 534, 115, 21, 18, 16, 11, 9, 9, 9, 9, 7, 6, 5, 5, 5, 4, 1, 1)"
97,2017和2019的对比,"(6, 8, 1, 2, 16, 14, 5, 17, 9, 3, 11, 15, 7, 12, 13, 4, 23, 24, 10, 18, 20, 21)","(97, 25, 20, 15, 9, 7, 6, 6, 5, 4, 4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)"
98,2017和2019网络流行语对比,"(6, 24, 14, 19, 3, 16, 21, 9, 10, 1, 2, 8, 12, 15, 23, 11, 13, 17, 18, 20, 22)","(32, 16, 15, 7, 6, 5, 5, 4, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)"
99,2019MAMA,"(7, 14, 23, 13, 18, 5, 1, 24, 10, 8, 11, 19, 12, 21, 22, 2, 6, 16, 17, 20, 9, 15, 4)","(160, 50, 28, 26, 17, 16, 12, 10, 9, 8, 8, 8, 7, 7, 7, 6, 6, 6, 6, 6, 4, 3, 1)"
100,2019MMA,"(7, 11, 16, 17, 14, 8, 21, 5, 4, 10, 20, 6, 9, 13, 3, 18, 19, 24, 1, 12, 2, 23, 22, 15)","(226, 49, 23, 20, 18, 16, 14, 13, 13, 12, 12, 11, 10, 10, 9, 9, 9, 8, 7, 7, 6, 5, 4, 1)"
